video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
8Cr35-U3Ino,"Confesso que esses estão valendo a pena em 2025, gamebox G11 pro e Super console cube x3",221,14,345,32,3,ON Jack EU TÔ?,43700
KPvzosSRgxc,"OS MELHORES Jogos CROSSPLAY Multiplataformas Em 2023 - XBOX, PlayStation, PC e Nintendo [TOP 15]",861,929,130219,3412,182,Sr LopesB,33200
cpgH7W0gIaw,Xbox One X vs PlayStation 4 Pro comparativa -batalla en 4K-,899,2881,1379392,28953,7186,clipset,2510000
vwAoOWFyWDc,"20 Videojuegos con CROSSPLAY para Playstation, Nintendo, Xbox y PC [Juego Cruzado: Episodio 1]",697,1919,539756,9951,618,Onoda Ki,13900
7eLGHuQPD_I,L'UNIQUE PROTOTYPE NINTENDO PLAYSTATION EN VENTE!,477,2209,76597,3340,445,Conkerax,471000
IRRzamJDLn0,How To Connect XBOX One Controller To PS4 or Playstation Pro -Does it work?,136,1911,55102,385,37,10 MinuteS TuToriaL & SeCondHanD ReVieW,12000
vhqol3Wi8hY,QUANDO SEU AMIGO INVENTA UMA PALAVRA 😂,8,14,10683,684,15,Shoks,59500
JvuYkOQNhNU,Actualización de INDIANA JONES con Nuevo MODO + 🔎 #xbox  #videojuegos,27,11,971,19,0,El Llama 404,403000
zrGR9rzK_ZQ,Combo #pc #xbox #playstation #nintendo #energy #memes #reels #ytshorts #shorts #halo #steam #gaming,5,12,59,1,0,W1ck3d,62
ZECGA2Pp6q4,How much ang PS5 at PS4 sa PlayStation Store Philippines? May Nintendo Switch at Xbox Series din ?!?,484,891,104295,746,143,GG Fist Bump with Zach Darvin,33800
9_FsxRH5xgg,Sony confirmó que la PlayStation 4 está llegando a su final. 🎮💔,58,12,1325,52,4,EDV PLAY,22600
1skk7UsIbok,"357 - ¡TABERNA! REVIEWS BATTLEFIELD 6, EL FUTURO DE XBOX, SUPER NINTENDO WORLD Y MÁS!",8141,11,12665,383,41,El Búnker S.A.,35300
Grlvr3Xa5o4,#fortnite #fortniteclips #gaming #pcgaming #playstation #nintendo #viral #trending #minicombo #xbox,58,12,8,1,0,oniish miili,2170
PWehebdHWUw,PlayStation 4 Slim vs Xbox One S COMPARATIVA,605,3187,800900,19913,5327,clipset,2510000
eGnxTCKwexg,"Usa tu PC o Laptop como monitor para CONSOLA | PlayStation, Xbox, Nintendo Switch",918,1419,997195,18139,876,ByZarate | Tech-Life & Gaming,9400
0Xe37DkgPYE,🎮👉💻 Cómo CONECTAR CONSOLAS a PC ó LAPTOP | PlayStation - Xbox - Nintendo,483,543,29491,610,40,Granbogda,74800
ULcKJLjK9gg,Yo. 🤣 #shorts #humor #gaming #shortvideo #humorgamer #gamer #viral #playstation #nintendo #xbox,12,11,3484,186,0,Multiverse Travelers,701
5RMSXGB3ngo,#gaming #unboxing #playstation #games #gamer #playstation #ghostofyotei #controller #xbox #nintendo,30,13,134,1,0,Ragnar85Gaming,207
bXAopuHiE_Y,Evolución de Chun-Li #Capcom #StreetFighter #ChunLi #FightingGames #Celebracion #Victoria,58,13,18020,1326,29,El Alacrancillo,100000
RG9ktUnBBi4,Reparar la goma del joystick de tu control Xbox PlayStation Nintendo,650,2840,72120,1566,134,MarioStation,23300
fEIjQ7-DuOQ,Só vale resposta errada! #Games #gaming #advinha #gamer #jogos #playstation #xbox #nintendo #PC,16,12,984,10,19,Mustache Lives,3360
4jqIdekcOJA,"Sabse Sasta Second hand Ps5,Ps4 🔥Consoles In Xbox , Nintendo Gaming Console ",78,51,1758,35,15,SS GAMES MUMBAI ,730
usY_GlVX_g0,MINECRAFT ERA ASSIM 😂,11,12,6406,337,11,Shoks,59500
kcBR8QZSOAs,Awh hell naw #videogames #gaming #ps #gamer #playstation #games #xbox #game #nintendo #videogame,34,13,1181,12,2,LG Gaming,225
6Ql5Rw5sbfs,O que acontece agora com esse AUMENTO nas plataformas ? #xbox #nintendo #playstation #jogos,9,13,1851,23,5,Da um Cast,35
ApuQ9dG_dck,High bass wireless headphones with mic on upto 30% off,15,11,6,0,0,Funco Mart,22
8KUuWsFqGxQ,LITTLE NIGHTMARES 3 Прохождение Игры и Обзор ► МАЛЕНЬКИЕ КОШМАРЫ 3 Прохождение | ГЕЙМПЛЕЙ | СТРИМ,24227,10,5859,1820,11,Dark Valkyrie,102000
CqqBRKPNMms,Debate serio: Blanco o negro #videojuegos #nintendo #playstation #xbox #opiniones,36,12,1022,42,6,TíoPan5,14
apply5xeYr4,"SEMUA EMULATOR KONSOL Nintendo Switch, PLAYSTATION, XBOX 360, INTEL CORE  i5 4570 DAN GTX 750 2GB",1579,1166,23481,250,115,Me Instant,11100
tmlmES3VCjo,#fortnite #fortniteclips #playstation #xbox #nintendo #pcgaming #viral #trending #online #action #yt,60,12,7,1,0,oniish miili,2170
dDwBT79wUbA,¿Quien es la COMPETENCIA de Nintendo?,62,13,1013,22,0,Ivanchuverse,94
YqMc2wD9lMk,why did we let that happen to them yo 😭| GHOST OF YOTEI #ghostofyotei #gioxiovanna #GioXiovanna,32,11,880,21,0,GioXiovanna,90
OJr1hqqs8l8,GAMES🎮GAME🎮#gaming #games #gamer #videogames#instagaming #gamers #gaminglife #videogame #onlineging,16,11,61,,0,TOTAL_GAMES_09,24
Wuf8-t4RKvo,From Bedrooms to Billions The PlayStation Revolution,9744,1867,,53,5,YouTube Movies,0
Ay2hCPPL578,TOP 30 NEW Upcoming AAA Games of 2026,3766,8,11992,153,15,WildGamerSK,229000
T6NVRuB1-6k,"Top 10 Single Player Games coming out in 2026 | PS5, PC, Xbox Series X",1397,9,22668,520,30,MathChief - The Best of Gaming!,799000
zQsl8giioL8,Top 20 NEXT-GEN Games Coming in 2026,1678,24,107167,1234,149,Broz Play,10100
WJjrzYYKkXg,TOP 50 BEST NEW Upcoming Games of 2026,4992,11,8055,141,15,WildGamerSK,229000
6lOWCHLjcVM,TOP 25 BIGGEST New Games with INSANE GRAPHICS coming in 2025 and 2026,2235,10,23785,445,33,MathChief - The Best of Gaming!,799000
MgqDTMgHiew,TOP 20 NEW Upcoming AAA Games of 2026,2732,39,49706,489,6,WildGamerSK,229000
Ki84Ubs0Ihc,"TOP 20 NEW Upcoming OPEN WORLD Games of 2025 & 2026 | PC, PS5, Xbox Series X",1408,21,38113,331,43,OKtrix,33000
2bfh7j-eLkQ,TOP 25 NEW Upcoming MASSIVE OPEN-WORLD Games of 2025 & 2026,3218,26,16451,165,5,WildGamerSK,229000
m0sXehPuz5M,Gammara PlayLand Games is Coming Soon!!Special New Years Eve 2026. See You 🎉🎉,24,10,1201,15,2,Gammara Hotel Makassar,638
lFtADIuUI40,TOP 30 BIGGEST NEW Games coming in 2026 with Crazy NEXT GEN 4K Graphics,3193,46,103672,1025,54,ENFANT TERRIBLE,450000
mnSZEmTa_qY,"20 NEW Upcoming Games You Can’t Afford to Miss (2025 & 2026) | PS5, PC, Xbox Series X, PS4, XB1, NS",1346,39,115045,941,66,OKtrix,33000
kpCXZjkck7s,BEST NEW UPCOMING GAMES 2026 (Trailer) | Best New Game Trailers,1741,9,5472,75,4,WildGamerSK,229000
9-83dPhoAmE,15 HUGE NEW FPS Games Coming To Xbox & Xbox Game Pass In 2026!,774,13,14435,436,72,Xbox Nation,75200
wA9Z_ghqGWs,TOP 26 BEST NEW Upcoming Games of 2026,2884,117,31694,280,21,WildGamerSK,229000
0ueyDnte6yY,"Top 26 NEW Upcoming Games EVERYONE Must Play in 2025 & 2026 | PS5, PC & Xbox Series X",2870,32,25061,387,37,MathChief - The Best of Gaming!,799000
MNfdwWj86k4,BIG NEW GAME ANNOUNCEMENTS & MORE,925,24,380684,16817,1764,gameranx,8430000
kCtVXX6_RLo,2026-2025 Best year of Games😨 #shorts #gta #rdr,23,154,171283,5663,303,Vendiee,78300
3ZGHOmOkRgA,"20 NEW Upcoming ZOMBIE Open World Games of 2025 & 2026 | PC, PS5, Xbox Series X",1345,43,54991,744,37,OKtrix,33000
RkGZqq3y-8Q,20 NEW AMAZING Upcoming PS5 Games of 2026 YOU Should Know About!,1438,27,13273,140,14,OKtrix,33000
FqSZYvlgXvY,NEW Halo Game 2026,51,484,1614230,80499,8484,Mint Blitz,296000
Mtx3l3zajIs,NEW UPCOMING GAMES 2026 (Trailer) | Best New Game Trailers,1729,163,34717,284,10,WildGamerSK,229000
AO_bL5hMrwE,TOP 40 BIGGEST NEW Games coming in 2026 with Crazy NEXT GEN 4K Graphics,3775,367,460023,3169,236,ENFANT TERRIBLE,450000
WGpW9-gTq4Y,Top 22 BIGGEST NEW Games from TOKYO GAME SHOW 2025 coming out in 2025 & 2026,2365,25,19859,385,41,MathChief - The Best of Gaming!,799000
unPRnKoLnCI,TOP 20 NEW Open World Survival Games coming in 2025 and 2026,1820,15,11453,250,17,MathChief - The Best of Gaming!,799000
qw9mQ3Oy1NU,15 BIGGEST PS5 Games Coming In 2026 | PlayStation 5,759,45,88027,950,79,Push Square,164000
CFaGT4hZzuk,2025-2026 Is Insane💀 | #shorts #rdr #gta6,20,160,2488562,92145,2051,BlackLungMorgan,177000
iKcqZ1lcbcs,TOP 100 BEST NEW Upcoming Games of 2026,9906,41,5278,119,2,WildGamerSK,229000
8zjUugM8m7I,TOP 50 NEW Upcoming OPEN-WORLD Games of 2026,5303,51,21853,261,8,WildGamerSK,229000
XCV_xn87Ig4,2 Halloween Video Games Announced,59,434,162011,11809,241,3C Films,723000
hxqGXEjo9DA,"20 Upcoming AAA Games You WON’T Believe Are Real (2025 & 2026) | PS5, PC, Xbox Series X",1284,71,220287,2048,101,OKtrix,33000
GMF5WOM2ows,NEW PS5 Games You NEED To Know About | Coming 2025/2026 (4K Trailer),2152,37,28308,230,24,PlayStationEmpire ,32500
VjdYX-nvA5E,TOP 20 NEW UPCOMING Nintendo Switch 2 Games 2025 - 2026,1713,13,33433,279,30,SwitchTop,25300
NAElH89KRJA,Top 25 NEW Upcoming Simulation Games of 2025 & 2026,2093,37,132209,1337,82,Now Gaming Time,110000
rs5a2d25yTY,2026 Is the best year? ☠️ | #2026 #shorts,33,130,780393,25627,607,GHOST EDITS,301000
kt0DyQ-famQ,10 Upcoming AAA games We Are HYPED ABOUT,908,41,910085,23410,1992,gameranx,8430000
eGYGEzHZ3D4,HUGE Marvel's WOLVERINE News 🔥🎮 |  #MarvelsWolverine #Wolverine #PS5,41,695,555722,22225,826,The Controller Junky,11900
